"Rank","Name","MLB ID","FV","ETA","Position","Team"
"1","Konnor Griffin","804606","70","2026","SS/OF","Pittsburgh Pirates"
"2","Nolan McLean","690997","64","2026","RHP",""
"3","Jesús Made","815908","62","2027","SS/2B","Milwaukee Brewers"
"4","Kevin McGonigle","805808","62","2026","SS","Detroit Tigers"
"5","Samuel Basallo","694212","62","2026","C/1B",""
"6","Bubba Chandler","696149","60","2026","RHP",""
"7","Max Clark","703601","60","2026","OF","Detroit Tigers"
"8","Leo De Vries","815888","60","2026","SS","Athletics"
"9","Trey Yesavage","702056","58","2026","RHP",""
"10","Colt Emerson","806068","58","2026","SS","Seattle Mariners"
"11","Carson Benge","701807","58","2026","OF","New York Mets"
"12","JJ Wetherholt","802139","58","2026","INF","St. Louis Cardinals"
"13","Aidan Miller","805795","57","2026","SS","Philadelphia Phillies"
"14","Thomas White","806258","60","2026","LHP","Miami Marlins"
"15","Eli Willits","816113","56","2028","SS","Washington Nationals"
"16","Sebastian Walcott","806964","56","2027","SS/3B","Texas Rangers"
"17","Payton Tolle","801139","55","2026","LHP","Boston Red Sox"
"18","Andrew Painter","691725","55","2026","RHP",""
"19","Ryan Sloan","815549","55","2028","RHP","Seattle Mariners"
"20","Chase DeLauter","800050","55","2026","OF",""
"21","Luis Peña","821270","55","2028","INF","Milwaukee Brewers"
"22","Bryce Eldridge","805811","55","2026","1B","San Francisco Giants"
"23","Liam Doyle","824604","53","2027","LHP","St. Louis Cardinals"
"24","Josue De Paula","800543","54","2027","OF","Los Angeles Dodgers"
"25","Jarlin Susana","703186","53","2027","RHP","Washington Nationals"
"26","Franklin Arias","808265","53","2027","SS","Boston Red Sox"
"27","Bryce Rainer","800614","53","2028","SS","Detroit Tigers"
"28","Walker Jenkins","805805","53","2026","OF","Minnesota Twins"
"29","Alfredo Duno","806957","53","2028","C","Cincinnati Reds"
"30","Carson Williams","700246","53","2026","SS",""
"31","Carter Jensen","695600","53","2026","C",""
"32","Kade Anderson","807739","52","2027","LHP","Seattle Mariners"
"33","Jonah Tong","804636","52","2026","RHP","New York Mets"
"34","Robby Snelling","702281","52","2026","LHP","Miami Marlins"
"35","Connelly Early","813349","52","2026","LHP",""
"36","Tyler Bremner","803285","51","2026","RHP","Los Angeles Angels"
"37","Zyhir Hope","814307","52","2027","OF","Los Angeles Dodgers"
"38","Sal Stewart","701398","52","2026","INF",""
"39","Seth Hernandez","815825","51","2028","RHP","Pittsburgh Pirates"
"40","Edward Florentino","821273","52","2028","OF/1B","Pittsburgh Pirates"
"41","Kyson Witherspoon","804817","51","2027","RHP","Boston Red Sox"
"42","Parker Messick","800048","51","2026","LHP",""
"43","Travis Sykora","805809","51","2028","RHP","Washington Nationals"
"44","Carlos Lagrange","801739","51","2026","RHP","New York Yankees"
"45","Gage Jump","695611","51","2026","LHP","Athletics"
"46","Jaxon Wiggins","694393","51","2026","RHP","Chicago Cubs"
"47","Brody Hopkins","811315","51","2026","RHP","Tampa Bay Rays"
"48","Rhett Lowder","695076","51","2026","RHP",""
"49","Eduardo Quintero","808234","51","2028","OF","Los Angeles Dodgers"
"50","Noah Schultz","702273","51","2026","LHP","Chicago White Sox"
"51","Jurrangelo Cijntje","701388","51","2026","RHP","St. Louis Cardinals"
"52","Khal Stephen","701590","50","2026","RHP","Cleveland Guardians"
"53","Angel Genao","694197","51","2026","SS","Cleveland Guardians"
"54","Jake Bloss","814005","50","2026","SP","TOR"
"55","Ryan Waldschmidt","814439","51","2026","OF","Arizona Diamondbacks"
"56","Dax Kilby","828076","51","2028","SS","New York Yankees"
"57","Braden Montgomery","695731","51","2026","OF","Chicago White Sox"
"58","Emil Morales","815896","51","2029","SS","Los Angeles Dodgers"
"59","Ethan Holliday","815787","51","2029","SS","Colorado Rockies"
"60","JR Ritchie","702275","51","2026","RHP","Atlanta Braves"
"61","Caleb Bonemer","815352","51","2028","SS/3B","Chicago White Sox"
"62","Dylan Beavers","687637","51","2026","OF",""
"63","Didier Fuentes","800311","50","2026","RHP",""
"64","Aiva Arquette","804109","51","2028","SS","Miami Marlins"
"65","Joe Mack","691788","51","2026","C","Miami Marlins"
"66","Eduardo Tait","806953","51","2028","C","Minnesota Twins"
"67","Michael Arroyo","703197","51","2026","2B","Seattle Mariners"
"68","Ralphy Velazquez","806252","51","2027","1B/OF","Cleveland Guardians"
"69","Hagen Smith","696146","51","2026","LHP","Chicago White Sox"
"70","Christian Oppor","803291","50","2027","SP","CHW"
"71","Brandon Sproat","687075","51","2026","RHP",""
"72","Jonny Farmelo","806071","51","2028","OF","Seattle Mariners"
"73","Moisés Ballesteros","694208","51","2026","C",""
"74","Travis Bazzana","683953","51","2026","2B","Cleveland Guardians"
"75","George Lombard Jr.","806146","51","2027","INF","New York Yankees"
"76","Kaelen Culpepper","701785","51","2027","SS","Minnesota Twins"
"77","Arjun Nimmala","805796","51","2028","SS","Toronto Blue Jays"
"78","Charlie Condon","809707","51","2026","1B/OF","Colorado Rockies"
"79","River Ryan","689981","50","2026","RHP","Los Angeles Dodgers"
"80","Caden Scarborough","807291","50","2027","RHP","Texas Rangers"
"81","Michael Forret","702650","50","2027","RHP","Tampa Bay Rays"
"82","Jack Wenninger","811307","50","2026","RHP","New York Mets"
"83","Logan Henderson","701656","50","2026","RHP","Milwaukee Brewers"
"84","Jett Williams","702518","51","2026","SS/2B/OF","Milwaukee Brewers"
"85","Harry Ford","695670","51","2026","C","Washington Nationals"
"86","Owen Caissie","683357","51","2026","OF",""
"87","Jhonny Level","815929","50","2029","SS","San Francisco Giants"
"88","Ethan Salas","806956","50","2027","C","San Diego Padres"
"89","Josue Briceño","800522","51","2027","C/1B","Detroit Tigers"
"90","George Klassen","691946","50","2026","RHP","Los Angeles Angels"
"91","Lazaro Montes","703155","51","2027","OF","Seattle Mariners"
"92","Billy Carlson","815814","49","2029","SS","Chicago White Sox"
"93","Blake Mitchell","805810","51","2027","C","Kansas City Royals"
"94","Cam Caminiti","807284","49","2027","LHP","Atlanta Braves"
"95","Jeferson Quero","691620","50","2026","C","Milwaukee Brewers"
"96","Jacob Reimer","702544","50","2026","3B/1B","New York Mets"
"97","Luis De León","801725","50","2026","LHP","Baltimore Orioles"
"98","Roldy Brito","821041","50","2028","OF/2B","Colorado Rockies"
"99","Felnin Celesten","806958","50","2028","SS","Seattle Mariners"
"100","Tanner McDougal","701780","50","2026","SP","CHW"
"101","Jefferson Rojas","800473","50","2027","SS/2B","Chicago Cubs"
"102","Trey Gibson","694346","50","2026","RHP","Baltimore Orioles"
"103","JoJo Parker","828098","49","2029","SS","Toronto Blue Jays"
"104","Jimmy Crooks","699625","50","2026","C","St. Louis Cardinals"
"105","Tommy Troy","694371","50","2026","2B/OF","Arizona Diamondbacks"
"106","Kevin Alcántara","682634","50","2026","OF","Chicago Cubs"
"107","Winston Santos","692437","49","2026","RHP","Texas Rangers"
"108","Mike Sirota","701527","49","2027","OF","Los Angeles Dodgers"
"109","Christian Zazueta","800537","48","2028","RHP","Los Angeles Dodgers"
"110","Emmanuel Rodriguez","691181","52","2026","OF","Minnesota Twins"
"111","Justin Crawford","702222","49","2026","OF","Philadelphia Phillies"
"112","Yolfran Castillo","815931","49","2029","SS/3B","Texas Rangers"
"113","A.J. Ewing","805999","49","2027","OF/2B","New York Mets"
"114","David Davalillo","699314","49","2026","RHP","Texas Rangers"
"115","Steele Hall","571736","49","2029","SS","Cincinnati Reds"
"116","Thayron Liranzo","699073","50","2027","C/1B","Detroit Tigers"
"117","Braylon Doughty","815785","48","2028","RHP","Cleveland Guardians"
"118","Bishop Letson","811309","48","2027","RHP","Milwaukee Brewers"
"119","Owen Murphy","702566","48","2028","RHP","Atlanta Braves"
"120","Demetrio Crisantes","702679","48","2027","2B/3B","Arizona Diamondbacks"
"121","Kevin Alvarez","829037","48","2029","OF","Houston Astros"
"122","Gage Wood","805906","46","2027","RHP","Philadelphia Phillies"
"123","Leo Bernal","699024","47","2027","C","St. Louis Cardinals"
"124","Jansel Luis","800306","47","2027","3B","ARI"
"125","Ben Hess","696292","48","2027","RHP","New York Yankees"
"126","Cooper Pratt","806198","47","2026","SS","Milwaukee Brewers"
"127","Cooper Ingle","694876","47","2026","C","Cleveland Guardians"
"128","Ryan Johnson","802459","46","2026","RHP",""
"129","Andrew Fischer","702652","48","2027","3B","Milwaukee Brewers"
"130","Kohl Drake","684442","45","2026","SP","ARI"
"131","Wandy Asigen","836583","47","2031","SS","New York Mets"
"132","Trey Gregory-Alford","807281","47","2029","RHP","Los Angeles Angels"
"133","Alex Freeland","690976","48","2026","INF",""
"134","Adam Serwinowski","703445","46","2027","LHP","Los Angeles Dodgers"
"135","Spencer Jones","682987","48","2026","OF","New York Yankees"
"136","Yairo Padilla","821107","47","2029","SS","St. Louis Cardinals"
"137","Ryan Clifford","691775","48","2026","1B/OF","New York Mets"
"138","Will Watson","814492","47","2026","RHP","New York Mets"
"139","Ricky Tiedemann","694357","45","2026","SP","TOR"
"140","Charles Davalan","804560","46","2028","OF","Los Angeles Dodgers"
"141","Hayden Alvarez","820986","47","2029","OF","Los Angeles Angels"
"142","Brandon Clarke","700251","47","2027","LHP","St. Louis Cardinals"
"143","Diego Tornes","829053","46","2030","OF","Atlanta Braves"
"144","Jackson Ferris","701328","46","2026","LHP","Los Angeles Dodgers"
"145","Quinn Mathews","687273","46","2026","LHP","St. Louis Cardinals"
"146","Jonathan Santucci","695558","47","2026","LHP","New York Mets"
"147","JD Dix","807267","47","2028","2B","Arizona Diamondbacks"
"148","Francisco Renteria","836353","46","2031","OF","Philadelphia Phillies"
"149","Jordan Yost","803723","46","2029","SS","Detroit Tigers"
"150","Yilber Díaz","700270","47","2026","SIRP","ARI"
"151","Héctor Rodríguez","699302","46","2026","OF","Cincinnati Reds"
"152","Xavier Neyens","815832","46","2029","SS","Houston Astros"
"153","Caden Favors","801129","45","2028","SP","CLE"
"154","Walker Janek","801075","46","2027","C","Houston Astros"
"155","Matt Wilkinson","683363","45","2027","SP","CLE"
"156","Johnny King","803516","45","2029","SP","TOR"
"157","Nelson Rada","703185","46","2026","OF","Los Angeles Angels"
"158","Jace LaViolette","702593","46","2028","OF","Cleveland Guardians"
"159","Aroon Escobar","800169","46","2028","2B","Philadelphia Phillies"
"160","Jedixson Paez","699151","45","2026","SP","CHW"
"161","Moisés Chace","691330","45","2027","RHP","Philadelphia Phillies"
"162","J.D. Thompson","702505","45","2028","LHP","Milwaukee Brewers"
"163","Alex Lodise","822676","46","2028","SS","Atlanta Braves"
"164","Luke Stevenson","806233","46","2028","C","Seattle Mariners"
"165","Zach Thornton","804267","45","2027","LHP","New York Mets"
"166","Bryce Mayer","809343","45","2027","RHP","Houston Astros"
"167","Garrett Baumann","803833","45","2027","RHP","Atlanta Braves"
"168","James Tibbs III","696486","46","2027","OF/1B","Los Angeles Dodgers"
"169","Gabriel Rodriguez","821657","45","2029","SS/3B","Cleveland Guardians"
"170","Marlon Nieves","812363","45","2029","RHP","Los Angeles Dodgers"
"171","Matthew Fisher","832455","45","2029","RHP","Philadelphia Phillies"
"172","Josh Adamczewski","815304","46","2028","OF/2B","Milwaukee Brewers"
"173","Tekoah Roby","694358","45","2027","RHP","St. Louis Cardinals"
"174","Cristian Mena","691441","45","2026","SP","ARI"
"175","Jose Franco","683742","45","2026","RHP","Cincinnati Reds"
"176","Elian Peña","829033","45","2030","SS","New York Mets"
"177","Cam Collier","702253","46","2027","1B/3B","Cincinnati Reds"
"178","Ethan Pecko","814490","45","2026","RHP","Houston Astros"
"179","Kayson Cunningham","815617","45","2030","2B","ARI"
"180","Chase Hampton","694633","45","2027","RHP","New York Yankees"
"181","Bryce Cunningham","701480","45","2027","RHP","New York Yankees"
"182","Tink Hence","693311","45","2026","RHP","St. Louis Cardinals"
"183","Daniel Eagen","811666","45","2027","SP","ARI"
"184","Juneiker Caceres","821181","45","2029","OF","Cleveland Guardians"
"185","Kahlil Watson","696135","45","2026","OF","Cleveland Guardians"
"186","LuJames Groover","694410","45","2026","3B","Arizona Diamondbacks"
"187","Joey Oakie","815841","44","2028","RHP","Cleveland Guardians"
"188","Junior Ciprian","815795","42","2029","SP","ARI"
"189","Luke Sinnard","820827","45","2027","RHP","Atlanta Braves"
"190","Robert Gasser","688107","45","2026","LHP","Milwaukee Brewers"
"191","Rainiel Rodriguez","823787","55","2028","C","St. Louis Cardinals"
"192","Luis Lara","800325","45","2026","OF","Milwaukee Brewers"
"193","AJ Blubaugh","805123","45","2026","RHP",""
"194","Johnny Slawinski","828989","44","2029","LHP","Los Angeles Angels"
"195","Aaron Watson","826209","44","2029","RHP","Cincinnati Reds"
"196","Josh Knoth","805807","44","2028","RHP","Milwaukee Brewers"
"197","Briggs McKenzie","828987","44","2029","LHP","Atlanta Braves"
"198","Chase Petty","695534","44","2026","RHP","Cincinnati Reds"
"199","Randy Arias","815897","37","2032","SS","HOU"
"200","Zach Root","702539","44","2028","LHP","Los Angeles Dodgers"
"201","Oliver Gonzalez","823860","42","2030","SP","LAD"
"202","Ethan Frey","703676","44","2028","OF","Houston Astros"
"203","Denzer Guzman","694203","45","2026","SS","Los Angeles Angels"
"204","Gabriel Rincones Jr.","687282","45","2026","OF","Philadelphia Phillies"
"205","Luis Carias","808218","42","2028","SP","LAD"
"206","Dante Nori","807276","44","2027","OF","Philadelphia Phillies"
"207","David Sandlin","689818","45","2026","MIRP","CHW"
"208","Ryan Forcucci","801573","43","2028","RHP","Houston Astros"
"209","David Hagaman","701908","42","2027","SP","ARI"
"210","Jose Cabrera","703615","37","2028","MIRP","ARI"
"211","Mason Morris","702568","43","2028","RHP","Cincinnati Reds"
"212","Jogly Garcia","805702","40","2027","SIRP","CLE"
"213","Oscar Tineo","","42","2032","SS","DET"
"214","Ryan Mitchell","815829","43","2029","OF/SS","St. Louis Cardinals"
"215","Tyson Lewis","815653","44","2029","SS/3B","Cincinnati Reds"
"216","Brice Matthews","694728","44","2026","2B",""
"217","Daniel Espino","682982","42","2026","RHP","Cleveland Guardians"
"218","Max Anderson","801194","44","2026","2B/3B","Detroit Tigers"
"219","Hao-Yu Lee","701678","44","2026","3B/2B","Detroit Tigers"
"220","Aldrin Batista","702881","42","2027","SP","CHW"
"221","Kendry Chourio","830402","50","2029","RHP","Kansas City Royals"
"222","Cooper Hjerpe","687309","43","2026","LHP","St. Louis Cardinals"
"223","Cade Obermueller","805261","43","2028","LHP","Philadelphia Phillies"
"224","Theo Gillen","815394","52","2028","OF","Tampa Bay Rays"
"225","Malachi Witherspoon","802412","43","2028","RHP","Detroit Tigers"
"226","Ixan Henderson","809100","43","2026","LHP","St. Louis Cardinals"
"227","Dean Livingston","828344","42","2029","SP","ARI"
"228","Joshua Báez","695491","49","2026","OF","St. Louis Cardinals"
"229","Juan Rijo","836591","43","2031","OF","Seattle Mariners"
"230","Edelson Cabral","","42","2032","SS","ATL"
"231","Mitch Voit","702491","42","2028","2B/SS","New York Mets"
"232","Yorger Bautista","829045","43","2030","OF","Seattle Mariners"
"233","Albert Fermín","837522","43","2031","SS","Houston Astros"
"234","Tyson Hardin","824620","43","2026","RHP","Milwaukee Brewers"
"235","Josuar Gonzalez","829034","51","2029","SS","San Francisco Giants"
"236","Cris Rodriguez","829038","46","2030","OF","Detroit Tigers"
"237","Nick Becker","829306","43","2029","SS","Seattle Mariners"
"238","Angel De Los Santos","829751","42","2030","SS","DET"
"239","Randy Santana","","42","2032","CF","DET"
"240","Manuel Bolivar","","42","2032","C","DET"
"241","Bryce Meccage","815501","43","2028","RHP","Milwaukee Brewers"
"242","Zach Ehrhard","701394","43","2027","OF","Los Angeles Dodgers"
"243","Jaden Fauske","828262","42","2030","LF","CHW"
"244","Brady Ebel","815816","43","2029","SS","Milwaukee Brewers"
"245","Andrew Sears","808825","43","2027","LHP","Detroit Tigers"
"246","Patrick Forbes","804467","42","2027","SP","ARI"
"247","Dylan Jordan","813335","41","2028","RHP","Los Angeles Angels"
"248","Luis Perales","691384","50","2026","RHP","Washington Nationals"
"249","John Gil","808535","42","2028","SS","Atlanta Braves"
"250","Juan Caricote","","42","2032","C","TOR"
"251","Joswa Lugo","815915","43","2029","SS","Los Angeles Angels"
"252","Eli Serrano III","702501","43","2027","OF","New York Mets"
"253","Zach Maxwell","687209","42","2026","RHP","Cincinnati Reds"
"254","Jaison Chourio","702693","43","2027","OF","Cleveland Guardians"
"255","Edwin Arroyo","695490","42","2026","SS","Cincinnati Reds"
"256","Blake Burke","695501","43","2026","1B","Milwaukee Brewers"
"257","Carlos Jorge","699115","43","2027","OF","Cincinnati Reds"
"258","Sam Antonacci","803011","43","2027","2B/3B","Chicago White Sox"
"259","Conor Essenburg","828148","43","2029","OF","Atlanta Braves"
"260","Chase Shores","702274","41","2027","RHP","Los Angeles Angels"
"261","Mitch Bratt","683352","40","2026","SP","ARI"
"262","Allen Facundo","702098","42","2028","LHP","New York Yankees"
"263","Joshua Flores","808129","37","2031","SIRP","MIL"
"264","Kendall George","806077","43","2027","OF","Los Angeles Dodgers"
"265","Ashton Izzi","802416","42","2027","SP","ARI"
"266","Liberts Aponte","829051","43","2030","SS","Cincinnati Reds"
"267","Marlon Quintero","821238","42","2029","C","Los Angeles Angels"
"268","Tanner Franklin","815119","41","2028","RHP","St. Louis Cardinals"
"269","Sheng-En Lin","806823","41","2028","RHP","Cincinnati Reds"
"270","Tai Peete","806191","43","2028","OF","St. Louis Cardinals"
"271","Iker Redona","827370","40","2030","SP","CIN"
"272","Chen-Wei Lin","813820","42","2027","RHP","St. Louis Cardinals"
"273","Chris Cortez","700933","41","2026","RHP","Los Angeles Angels"
"274","Wen-Hui Pan","808207","41","2027","RHP","Philadelphia Phillies"
"275","Jamie Arnold","701364","55","2027","LHP","Athletics"
"276","Pete Hansen","677337","42","2027","SP","STL"
"277","Dylan Ross","697811","42","2026","RHP","New York Mets"
"278","Bo Davidson","815589","50","2027","OF","San Francisco Giants"
"279","Esmil Valencia","806982","40","2029","OF","Miami Marlins"
"280","Braylon Payne","815520","43","2028","OF","Milwaukee Brewers"
"281","Henry Lalane","700649","41","2028","LHP","New York Yankees"
"282","Michael Oliveto","834672","43","2029","C","Detroit Tigers"
"283","Marco Dinges","701392","42","2027","C","Milwaukee Brewers"
"284","Alex McFarlane","686934","42","2026","RHP","Philadelphia Phillies"
"285","Kelvis Salcedo","808383","42","2028","RHP","Detroit Tigers"
"286","Ryan Lambert","822038","40","2026","RHP","New York Mets"
"287","Juan Sanchez","803039","43","2029","3B/SS","Toronto Blue Jays"
"288","Talon Haley","813989","41","2029","LHP","Los Angeles Angels"
"289","Miguel Ullola","699044","42","2026","RHP","Houston Astros"
"290","Charlee Soto","805792","48","2028","RHP","Minnesota Twins"
"291","Dauri Fernandez","821171","42","2029","INF","Cleveland Guardians"
"292","Jonathan Pintaro","702752","42","2026","RHP","New York Mets"
"293","Yhoiker Fajardo","823369","41","2028","RHP","St. Louis Cardinals"
"294","Gabe Craig","700582","40","2027","RHP","Philadelphia Phillies"
"295","Angel Nuñez","836585","42","2031","OF","Cincinnati Reds"
"296","Yilver De Paula","829795","42","2030","SS","Los Angeles Angels"
"297","Joel Hurtado","805871","42","2026","RHP","Los Angeles Angels"
"298","Lucas Braun","814351","41","2026","RHP","Atlanta Braves"
"299","Coleman Crow","689441","42","2026","RHP","Milwaukee Brewers"
"300","Brycen Mautz","802408","42","2026","LHP","St. Louis Cardinals"
"301","Ramon Marquez","827408","41","2029","RHP","Philadelphia Phillies"
"302","Cody Bowker","805790","41","2028","RHP","Philadelphia Phillies"
"303","Teddy McGraw","803141","41","2027","RHP","Seattle Mariners"
"304","Kruz Schoolcraft","828244","55","2029","LHP","San Diego Padres"
"305","Victor Arias","692478","42","2026","CF","TOR"
"306","Owen Carey","826928","42","2029","OF","Atlanta Braves"
"307","Boston Baro","805951","42","2028","INF","New York Mets"
"308","Alberto Barriga","800569","40","2028","C","ARI"
"309","Shane Drohan","675660","42","2026","LHP","Milwaukee Brewers"
"310","R.J. Gordon","822161","42","2026","RHP","New York Mets"
"311","Chung-Hsiang Huang","829473","40","2028","SP","ARI"
"312","Silvano Hechavarria","827664","40","2027","SP","TOR"
"313","Leonel Sequera","800320","40","2028","SP","STL"
"314","Tate Southisene","816111","44","2029","SS/OF","Atlanta Braves"
"315","Jake Cook","834404","40","2030","CF","TOR"
"316","Owen Hall","815157","42","2028","RHP","Detroit Tigers"
"317","Ching-Hsien Ko","828667","41","2029","OF","Los Angeles Dodgers"
"318","Emanuel Luna","836587","41","2031","OF","St. Louis Cardinals"
"319","Rolddy Muñoz","691548","40","2026","RHP","Atlanta Braves"
"320","Nate George","825582","55","2028","OF","Baltimore Orioles"
"321","Kevin Defrank","829074","50","2030","RHP","Miami Marlins"
"322","Franyerber Montilla","800508","41","2028","SS","Detroit Tigers"
"323","Jaron DeBerry","809229","40","2027","SP","MIL"
"324","Chris Suero","801523","43","2027","C/OF/1B","New York Mets"
"325","Romeli Espinosa","829089","42","2030","SS","Philadelphia Phillies"
"326","Joel Díaz","699309","40","2027","SP","NYM"
"327","Craig Yoho","684974","42","2026","RHP",""
"328","Kellon Lindsey","813916","41","2028","SS","Los Angeles Dodgers"
"329","Griffin Hugus","702976","41","2028","RHP","Seattle Mariners"
"330","Carlos Virahonda","808024","40","2029","C","ARI"
"331","Dean Curley","806053","41","2028","INF","Cleveland Guardians"
"332","Gabriel Davalillo","829058","41","2030","C/3B","Los Angeles Angels"
"333","Daury Vasquez","808035","40","2029","SP","ARI"
"334","AJ Russell","805706","50","2028","RHP","Texas Rangers"
"335","Leo Balcazar","699114","41","2027","SS/2B","Cincinnati Reds"
"336","Franklin Gomez","800338","40","2027","SP","CLE"
"337","Raudy Reyes","829909","40","2030","RHP","Atlanta Braves"
"338","Andrew Walters","689958","40","2026","RHP",""
"339","Heriberto Rincon","684516","37","2030","CF","NYM"
"340","Adriel Radney","815895","40","2030","RF","ARI"
"341","Franklin Rojas","815922","40","2030","C","TOR"
"342","Juan Rujano","829794","40","2031","C","STL"
"343","Jake Miller","805725","40","2026","LHP","Detroit Tigers"
"344","Grant Rogers","814804","40","2027","SP","TOR"
"345","Luis Hernández","801346","50","2030","SS","San Francisco Giants"
"346","Dayber Cruceta","827426","40","2030","CF","PHI"
"347","Kyle Hurt","669165","40","2026","RHP","Los Angeles Dodgers"
"348","Hansel Jimenez","823851","42","2029","3B","Cincinnati Reds"
"349","Alfonsin Rosario","806210","41","2027","OF","Cleveland Guardians"
"350","Justin Hagenman","663795","40","2026","SP","NYM"
"351","CJ Gray","832457","40","2029","RHP","Los Angeles Angels"
"352","Brooks Auger","824624","40","2028","SP","LAD"
"353","Blaine Bullard","828557","40","2029","CF","TOR"
"354","Korbyn Dickerson","702668","41","2028","OF","Seattle Mariners"
